TICKETID,ISSUE,SUBJECT,URGENCYCODE,PROBLEM,SOLUTION
t6UJ9A00GHH8,,URGENT HELP NEEDED: PI 7268 Batch posting failed to post,3,"Would you be able to help correct the whatever the issue is with the posting of PI batch 7268 please?

I've completely forgotten how to get into the background in Sage to check for the errors and correct them.",Batch had been imported incorrectly. Corrected suspended G/L journal to post the correct figures and editted the AP items to reflect the correct values.
t6UJ9A00GFTK,,MUK - WIP Report,3,"Hi, 

Please see attachment of our  report that got done at month end.

To run this report, we do the following 
	Sage - Manufacturing - works order processing - reports - works order status.
Hit enter and put an 'i' in the status required field (first cell) – enter
Run it and save it down (maudit).
 
Our understanding is that the report would show work orders that are left, but the report shows the full cost:

Please see print screen for example. The total cost is 10,424.99 for the Qty of 12. However, the report shows that 2 Qty have been finished but this has not been reduced this from the full amount.


 

This print screen shows the journal that has been posted in the month based of the stock history. The full for the WO  comes back to 10,574.64 giving a difference of 149.65 and we are trying to understand how we have this difference from the stock history to the .

 

Please can you confirm:
-	Why doesn't the WIP report show the material costs left anywhere?
-	Why was is the Works order  figure different on the stock history to the WIP Report?

Thanks, 

,",I advised  to run the  report in WOP Reports which will give her the figure she requires -  happy to close this one down and will open another ticket is further assistance is required
t6UJ9A00GGSG,,invoices into the GL,3,"Hi,

There is a process that my team do and I just want to check if there's a way to improve it. 

At the moment when a purchase invoice comes in and it has a PO to match against it, our purchase ledger clerk has to ask another team member to go into the  screen below. Then they have to click 'authorise', go out of the order and go back in where it will ask 'post immediately' and they have to click 'yes'. 

Is there a reason why this doesn't just post immediately? I'm not sure what benefit this step is adding? If you need details of which screens we go into etc please contact  (cc'd) and he can advise.","user is not set up as a pop user so currently is unable to authorise and post POP invoices
have set her up as one now but not given an invoice limit so someone else will still authorise and post them"
t6UJ9A00GHDL,BACS,BACS query,1,"when I raise a BACS, does it have to be raised on Sage 1000 on the two days before the run only ? If I were to raise a payment run on Tuesday for Friday, where can I depict the dates that the payment will be with the supplier.

I raised a run this Tuesday, but the remittances still were sent out and had today's date on it as the date they would receive payment, but it would only be received tomorrow.?",Advised that the remittance date entered when generating the payment list will be used for the documentation.
t6UJ9A00GHHG,,,3,",

Can you please set up  as a new timesheet resource in Sage? Please, use existing user LONGMANP as a template.

Kind regards,

REDCATED.",set up via Contracting -  -
t6UJ9A00GHGY,,sage error,3,"Hi

Please could I log a ticket we are getting this message when we open sage.

Could you look at this thanks","Restarted the  which appeared to be using 1.7GB of memory.
Sage is now back."
t6UJ9A00GHC3,Inventory,Ethanol - downgrading of stock,3,"As per the email below, I have done a stock adjustment for 84.0535 on tank 1505.  When I did the stock adjustment I got a message saying that some of the batches had been allocated.

When we look in Sage the physical stock has been adjusted but the available stock is the same.

Do you know if stock can be unallocated once it has been allocated for a sale?  

Also, do you know how we can identify which batches are allocated prior to doing a stock adjustment?","Advised to run the 'Batches' report and show allocations. Corrected the summary stock figures. Reset status on sales order ,  and  to allow the stock to be unallocated and reallocated."
t6UJ9A00GHG5,,Issue with system,3,"Hi
 
Can someone please unlock this batch as it's stopped people being about the post anything",killed hung  process
t6UJ9A00GHGO,,OLD Sage 1000 Access,3,"Trying to log into old system to obtain information for the audiotors but unable to get past the password stage on the old Sage 1000 V3 system.  can get in so it is just  password that is having issues, can someone reset the password to see if she can then log in.","On a Teams call with  saw Sage was making  change the password that had just been reset.
I advised  to put in the new password that was given to her and then set a new password.
 password policy was forcing  to change her password to something new, even though her admin had only just changed this."
t6UJ9A00GGRB,MS,,1,,Daily checks completed. See attached report
