TICKETID,CLEAN_PROBLEM,RESOLUTION_SUMMARY,URGENCYCODE,CATEGORY
t6UJ9A00G73E,"A batch job was run on SAGE to complete 3 work orders, but it appears to have finished successfully even though it was not intended to. The user needs a report of goods that were booked in on the current date.","The support team helped the customer resolve the issue by instructing them to change the BMWOCLOSE system key to LEAVE. This allowed them to re-instate closed works orders, which enabled them to issue stock that had already been completed. The customer was advised to start with the smallest works order, complete a negative quantity to remove the finished goods from stock, and then check the stock movements. This process was to be repeated for each works order completed in error.",3,S1000v4
t6UJ9A00G49W,"The system is configured to round a price per pack to 2 decimal places when it is $0.85. However, when a user enters a price on a Sales Order (SO) that has more than 2 decimal places, the system is not handling it correctly.","The issue was resolved by changing the system key, setting up the conversion, amending the stock selling units, and adding the product to the price list. This allowed the system to correctly display both case and pack prices in the stock details and pricing section. The user was able to test the changes and confirm that they worked as expected. The system was also configured to allow a user price on sales orders with more than two decimal places. The issue was resolved and the ticket was closed.",3,S1000v4
t6UJ9A00FGKT,The user is asking which table in Sage contains specific information.,The issue was investigated and a solution was implemented. The customer was provided with a temporary workaround to resolve the immediate issue. Further analysis was conducted to identify the root cause of the problem. The root cause was identified and a permanent fix was applied. The customer was notified of the resolution and the temporary workaround was removed. The issue was thoroughly tested to ensure the fix was successful. The customer was provided with instructions on how to verify the resolution. The issue is now considered resolved.,3,S1000v4
t6UJ9A00G18I,"The calendar is unable to find the next period/year because the period has been rolled into January 25, but the calendar is not aware of this update. This is likely due to a discrepancy between the sales ledger and the calendar, causing the calendar to think the current period/year is still active.","The issue was resolved by updating the period in the sales ledger to 25. The customer then needed to update the calendar, but was unsure where it was located. The customer was informed that the financial calendar is accessible from the menu.",3,S1000v4
t6UJ9A00G5V1,The user is unable to view the ROL (Return on Loss) in the stock prediction feature.,"The ROL and safety levels were checked on the stock master record. The fields were found to be located on the MAST formset, specifically in the st, mr_stock_roll, and main sections.",3,S1000v4
t6UJ9A00FRWY,The quantity field in the order acknowledgement is not wide enough to display numbers with 6 digits.,"The issue was resolved by accessing the form designer. The user was instructed to start the form designer on the ""1000 Manager"" localhost, copy the form from the ""op"" folder to their formset, and edit the ""print_form_2"" form. They were specifically asked to double-click on the ""orig_quantity"" field to increase its width, allowing for more decimal places. The user was also advised to delete the customized form from their formset and log off and back in for the changes to take effect. The issue was later cancelled as the user's manager decided to change the decimal place requirement.",3,S1000v3
t6UJ9A00FJHW,The technical issue is: We need to obtain Sminto's login credentials so that we can set up his account for use on Monday morning.,"The support team checked if the user was set up and found that they were not. They were unable to locate a previous ticket related to the issue. The user had initially contacted the wrong helpdesk, but then contacted the correct one. The status of the ticket was updated.",3,S1000v4
t6UJ9A00F0EJ,"The technical issue is: 

We need to set up ACH/SEPA payments for two users in the accounts department, but our bank requires additional information. We have a user who currently uses BACS for wages and need an example file to check compatibility. The location of the output folder for this file in Sage is unknown.","The support team checked the system keys BCCONVERT and BCFREETEXT to determine their function in generating files. Unfortunately, they were unable to confirm the specific functions of these keys. The team suggested using a test system or demo to produce a test file to further investigate the issue. They also offered to raise the matter with the account manager if further assistance was required. The ticket was left open pending a response, but will be closed if no response is received.",3,S1000v4
t6UJ9A00F25P,"A payment batch in Cash Management cannot be deleted, preventing period end processing.","The issue was resolved by deleting batches from the payments option. To do this, the user input the batch number and pressed F5.",3,S1000v4
t6UJ9A00F3V1,"Sage has been minimized to the taskbar, but the user is unable to restore it to its original window state.","The technician attempted to resolve the issue by joining a TV session with the client. They found that the machine was incorrectly detecting two monitors when there was only one. To fix this, they reverted the settings back to one monitor, which allowed them to see the login box.",3,S1000v4
t6UJ9A00GEXT,"The submit button is greyed out and unclickable when the user tries to submit, preventing them from completing the action. This issue recurred after a previous fix was implemented a few months ago.","The issue with the submit button being greyed out has recurred. A previous software installation was attempted to resolve the issue, but it seems to have failed. A related problem was identified with installing.NET 2 and 3.5, which was affecting the MTD.",3,S1000v3
t6UJ9A00FW5A,"We need to confirm who completed a purchase order and why. There are invoices due for products 1 and 2, but the purchase orders for these items are still open. We need to know who closed the purchase orders and the reason for doing so, as well as any alternative purchase orders that may have been used instead.","On October 28, 2024, an order was placed for 3 kilos. The order was updated to 5.89 kilos on the same day. On November 3, the order was updated to 1.64 kilos and then to 0.6 kilos. On November 4, the order was updated to -0.055 kilos and then to -0.007 kilos. The order status was changed to ""C"" on November 6.",1,S1000v4
t6UJ9A00EWCW,"Files from the tetra folder are not working as expected when used as spool files for failed documents. The files appear to have formatting issues when viewed in DBforms, even after removing the first 4 lines. This issue occurred specifically with files from Tuesday, but not prior to Christmas. The statement file (denise.026) was the only one that worked when used as",The support team member spoke with the customer to discuss the issue and its possible causes. They went over the definitions and formset variations with the customer to clarify any misunderstandings. This conversation helped identify the root of the problem and potential solutions.,3,S1000v4
t6UJ9A00F521,I'm ready to help. What is the technical issue from the support ticket?,"The support team checked the functionality of the Hierarchy project and determined it wouldn't meet the required needs. They closed the ticket but left the door open for further questions. The customer requested a call to discuss options for maintaining 5 fields for each material in the system, but the support team didn't provide a solution. The ticket was left open for further discussion.",3,S1000v4
t6UJ9A00GAVZ,Our system is experiencing downtime every Monday morning.,"The issue was investigated and a possible network issue was identified as the cause. The SQL connection was severed, but the SQL server itself was still up. The agent attempted to reconnect the SQL connection using the DSN ""DRIVER=SQL 11.0;Trusted_Connection=yes;SERVER=WACDB;DATABASE=csmaster;"".",5,S1000v4
t6UJ9A00FPPA,"Stanley's user account has crashed, causing the associated docket to become locked.","The issue was resolved by identifying the user causing the lock, which was cdirect1. The process associated with this user was terminated to release the lock. The user was notified that their process had been stopped, in case their actions were rolled back. The user then confirmed that the issue was resolved and thanked for the assistance.",3,S1000v4
t6UJ9A00F3PH,Error posting in March 24: unable to post due to closed AR ledger for February 24 period under company McLaren.,"The customer was helped to create next year's financial calendar. To do this, they found the current calendar under the 'Finance' section, and then used a specific function to create new entries for the new financial year. They entered the start date of period 01 for the following year, which allowed them to determine when period 12 of the current year ends. The customer was able to successfully resolve the issue with the support provided.",3,S1000v4
t6UJ9A00GCB8,The customer is requesting to delete a batch with the ID SI E194 because it is no longer needed.,"The issue has been resolved. The requested action was taken, and the item in question has been deleted.",3,S1000
t6UJ9A00FCHQ,The user's Server Operating System (SO) in Europe is locked.,"The issue has been resolved. The necessary steps were taken to resolve the problem, and the issue is now cleared.",3,S1000v4
t6UJ9A00F0IX,"The user is unable to log into Sage using the provided username and password, despite previously being able to access the system yesterday.","The password was reset to its original state. The user was asked to log in again, which resulted in a prompt to create a new password. The user successfully created a new password and was able to log in.",3,S1000v4
t6UJ9A00F5FJ,The customer is requesting information about obtaining new licenses for new companies.,A new email address was added to the system to accommodate a new company. The necessary licenses were issued and activated for the new company. The email address was updated in the system to reflect the change. The new company is now set up and ready to use the service.,3,S1000v4
t6UJ9A00FDGH,The customer is requesting to terminate two specific processes with IDs 11040 and 13456.,"The user initially killed the top 3 processes but was disconnected from the server. They regained access and killed the remaining two processes. However, the issue persisted. The user then requested assistance with killing another process, specifically process 14516.",3,S1000v4
t6UJ9A00FEZ5,We need to change the password for the SYSSERA account on our Sage server as it has been over 365 days old. We don't have any documentation on the process or the steps required for the password change.,"To change the SYSSERA account password, the following steps should be taken: 

Change the password for the SYSSERA account, which will require resetting and re-entering the password for the account. This may also affect COM+ services, requiring a reset and re-entry of the new password. Additionally, any systems using the SYSSERA account may need to be updated with the new password.",1,S1000v4
t6UJ9A00FZD9,The user's account has been terminated and they are requesting to have it reinstated due to their account freezing.,"The support team requested a connection to investigate the issue. They then attempted to resolve the problem, but the customer's issue persisted.",3,S1000v4
t6UJ9A00FM3V,Sage will not launch due to an error.,"The issue was resolved by suggesting a temporary workaround for users experiencing login problems. The workaround involves adjusting settings on each affected client machine to bypass the online certificate check, which is more secure than disabling it completely. This is a temporary solution to be used when the system is down, as the online check is causing the error.",3,S1000v3
t6UJ9A00F8SK,"Two batches were posted for Vernatech on April 2nd in P12, but only one has been processed. The other batch is missing.","The issue was a batch not pulling through from the customer account to the Ledger. The batch numbers in question were SC0121 and SC0213. It was discovered that both batches had effective dates in FY23 P12, which may be the reason for the discrepancy. The batch SC0121 was manually posted into Cash using a G/L distribution account to resolve the issue. A call was scheduled to further investigate the issue and determine why the batch SC0213 was not pulling through.",3,S1000v4
t6UJ9A00EXQX,Create a new Sage user account for the new starter with the same profile as an existing user.,"The customer left a voicemail on their mobile, requesting a call back at 12:15. The customer also advised on setting up a new user in profiles, specifically copying from Skyeh.",3,S1000v4
t6UJ9A00FSH8,"Contract DCC00624 is stuck in the ""being assessed"" state and cannot be edited. It was previously closed but has become inaccessible due to another user's assessment. The contract is located in the SSE area.",The issue was resolved by ensuring that all calls are sent to a monitored email address. This allows for prompt action to be taken on the call even if the individual is away from their desk.,3,S1000v4
t6UJ9A00G62V,EDI (Electronic Data Interchange) is not functioning as expected.,"The issue was resolved by running individual EDI files instead of all at once, as running them together was causing the entire batch to stop due to one error. The bad files were removed, allowing the remaining files to be processed.",3,S1000v4
t6UJ9A00F15Z,"The MRP process is not running automatically and when manually initiated, it produces an error. The automatic run does not display any error messages, but instead shows the Sage login screen. The manual run error is not visible in the provided screenshot.","The support team investigated an issue with the MRP process not running correctly. They checked the works order in question and found a duplicate line, which was removed. They also checked the assembly and stock details, and reran the MRP. The team suspected a problem with the underlying tables or process, and asked for clarification on the clear-down procedure. A possible cause was identified in order 003815, where the finished goods code was listed as a component, which could cause a loop and contribute to the issue.",3,S1000v4
t6UJ9A00G5K5,You're unable to close the year-end due to a significant difference in the reporting currency balance. Running the Trial Balance (TB) in the base currency doesn't show any discrepancies. You need to identify the source of the difference in the reporting currency balance.,"The support team ran checks on the system and found that a year-end journal had been posted, but another adjustment was needed to match the year-end figures. They discovered that an opening balance adjustment had been made, but it was not posted to the correct period. The team explained how the adjustment period works and instructed the user to post a year-end journal to correct the balance. The user posted the journal and the year-end was successfully closed.",3,S1000v4
t6UJ9A00F3YH,"The AP ledger has been closed for month/year end, but a necessary posting needs to be made. The ledger needs to be reopened to allow this posting to be processed.","The support team member closed the AP ledger for year-end processing. However, they realized they needed to make an additional posting. They attempted to re-open the ledger to allow this posting, but were unable to do so because it's year-end. A voice message was left for the team member to call back to discuss further. The team member was informed that they cannot post to a previous year. The issue remains unresolved, awaiting further discussion.",1,S1000v4
