instruction,expected_output,model_output,similar_problem_1,similar_solution_1,urgency_1,category_1,similarity_1,similar_problem_2,similar_solution_2,urgency_2,category_2,similarity_2,similar_problem_3,similar_solution_3,urgency_3,category_3,similarity_3,avg_similarity,ticketID,pred_urgency_code,pred_category,pred_resolution,TICKETID,CLEAN_PROBLEM,true_urgency_code,true_category,true_resolution,fuzzy_ratio,avg_retriever_similarity,resolution_embedding_similarity
"Classify and resolve this support ticket using the following details:
- ticketID: t6UJ9A00FYRB
- Problem: assistant

Users are experiencing issues running Sage EDI, where the application screen reloads and returns to the home screen instead of completing the process.","- Urgency: 3
- Category: S1000v4
- Solution: assistant

A previous issue was raised by the customer, and a separate ticket was also submitted directly by them. The issue was resolved by the team.","{""Urgency Code"": ""3"", ""Category"": ""S1000v4"", ""Resolution"": ""Close SQL locks and restart the paperless service to resolve the Sage EDI issue where the application screen reloads and returns to the home screen instead of completing the process.""}","The user is experiencing issues with Sage, specifically:

- An EDI (Electronic Data Interchange) is stuck.
- A sales order is not processing and keeps popping up an error message.
- A despatched order did not print and has become frozen on the despatch confirmation screen.","The issue was resolved by identifying and closing SQL locks, which was causing the problem. A paperless licence renewal was also applied to the server. The user was instructed to restart the paperless service. After these steps, the orders were successfully printed.",3,S1000v4,0.7059488,"Sage is not functioning correctly. 

- The EDI is stuck.
- A sales order is not completing and is kicking the user out.
- A despatched order did not print and has frozen on despatch confirmation.",The issue was investigated and a solution was implemented. The customer was provided with a temporary workaround to resolve the immediate issue. Further analysis was conducted to identify the root cause of the problem. The root cause was identified and a permanent fix was applied. The customer was notified of the resolution and the temporary workaround was removed. The issue was thoroughly tested to ensure the fix was successful. The customer was provided with instructions on how to verify the resolution. The issue is now considered resolved.,3,S1000v4,0.7028822,The Sage application has become unresponsive and is no longer functioning.,"The issue was resolved by ending the Sage process, specifically the pl.exe, which was stuck in a loop and consuming 25% CPU. This was done by killing the process, allowing the system to recover.",3,S1000v4,0.6506924,0.68650776,t6UJ9A00FYRB,3.0,S1000v4,Close SQL locks and restart the paperless service to resolve the Sage EDI issue where the application screen reloads and returns to the home screen instead of completing the process.,t6UJ9A00FYRB,"Users are experiencing issues running Sage EDI, where the application screen reloads and returns to the home screen instead of completing the process.",3,S1000v4,"A previous issue was raised by the customer, and a separate ticket was also submitted directly by them. The issue was resolved by the team.",44.0,0.6865078000000001,0.22508812
"Classify and resolve this support ticket using the following details:
- ticketID: t6UJ9A00G06Y
- Problem: assistant

SL batches appear to be stuck, indicating that some processes are holding onto locks and preventing other processes from accessing the data. This is likely due to a deadlock or a resource contention issue, where multiple processes are competing for the same resources, causing a cycle of waiting and blocking.","- Urgency: 3
- Category: S1000v4
- Solution: assistant

The support team used TeamViewer to investigate and resolve the issue. They identified multiple users causing locks on the system, including invjm, invmk, and invsg. They killed these sessions and cleared the system key OPINVLOCK. The team also checked for any new users or processes causing the issue. After clearing the OPINVLOCK key, the team was able to post credits and invoices successfully. The resolution was achieved around 1:29 pm, suggesting that clearing the system key was the key to resolving the issue.","{""Urgency Code"": 3, ""Category"": ""S1000v4"", ""Resolution"": ""The IT team should identify the cause of the deadlock or resource contention issue, and then resolve it by clearing the locks or adjusting the resource allocation. This may involve restarting the affected processes or adjusting the system configuration to prevent similar issues in the future.""}",A batch process has become stuck and we need to identify the cause. The issue is related to a system with the ID SI6412 and may require enabling a connection to a third-party system.,"The IT team identified the issue as a user, dpriet, crashing out of the program, causing a lock on the SI batch. They closed the program and cleared the database locks. However, the issue persisted due to the user logging in twice, causing further locks. The IT team confirmed that the issue was still present.",3,S1000v4,0.64907837,"A batch has become locked, preventing further processing or editing. This is causing delays and impacting workflow. The batch is unable to be unlocked or modified, and any attempts to do so result in an error. The issue is affecting the ability to complete tasks and update records within the batch.","The issue was resolved after several attempts. The support team initially provided TeamViewer details to access the user's machine, but the user was unable to connect to the server due to authentication issues. The user was able to connect to the server later, but the batch was still locked. The support team refreshed the TeamViewer details, allowing the user to access the server and clear the lock. The user was then able to resolve the issue and the batch was unlocked. The support team checked the batch and confirmed it was resolved.",3,S1000v3,0.64342797,A batch process has encountered an error (BX 9667) and is currently locked. This means the batch is unable to complete its tasks and is stuck in a paused state.,"The support team confirmed that the issue is related to an invoice. The customer was connected to the support team and the status of the issue was updated. The support team confirmed that the issue is an invoice, specifically a locked batch (BX 9667).",3,S1000v3,0.62427676,0.6389277,t6UJ9A00G06Y,3.0,S1000v4,"The IT team should identify the cause of the deadlock or resource contention issue, and then resolve it by clearing the locks or adjusting the resource allocation. This may involve restarting the affected processes or adjusting the system configuration to prevent similar issues in the future.",t6UJ9A00G06Y,"SL batches appear to be stuck, indicating that some processes are holding onto locks and preventing other processes from accessing the data. This is likely due to a deadlock or a resource contention issue, where multiple processes are competing for the same resources, causing a cycle of waiting and blocking.",3,S1000v4,"The support team used TeamViewer to investigate and resolve the issue. They identified multiple users causing locks on the system, including invjm, invmk, and invsg. They killed these sessions and cleared the system key OPINVLOCK. The team also checked for any new users or processes causing the issue. After clearing the OPINVLOCK key, the team was able to post credits and invoices successfully. The resolution was achieved around 1:29 pm, suggesting that clearing the system key was the key to resolving the issue.",43.0,0.6389277,0.41580045
"Classify and resolve this support ticket using the following details:
- ticketID: t6UJ9A00F3Q9
- Problem: assistant

The computer restarted while running certain processes, causing them to freeze.","- Urgency: 3
- Category: S1000v4
- Solution: assistant

The issue was resolved after the customer reported that the problem was cleared.","{""Urgency Code"": 3, ""Category"": ""S1000v4"", ""Resolution"": ""Delete the order or session to resolve the issue.""}","The user is unable to exit or progress from a specific point in the application (PO), resulting in being ""frozen"" and is requesting assistance to resolve the issue.","The support team connected to the server to try and resolve the issue. They tried a specific command (079502) but it didn't work. The user was asked to check if they were in any active sessions, but they were not. The support team then killed 4 Purchase Order (PO) sessions and 1 quotation session, which should resolve the issue. The user confirmed that the PO sessions were cleared.",3,S1000v4,0.5976292,The user is experiencing a system freeze during a transaction and is unable to proceed. The issue occurred on Friday and they are currently stuck in the transaction process.,"The support team was unable to connect to the server initially due to issues on their end. However, the issue was resolved when the session timed out over the weekend.",3,S1000v4,0.59233075,"The system froze (hung) while you were working on a ticket, resulting in an incomplete or stuck transaction. This has caused issues with stock allocation and you are unable to amend or delete the ticket.",The issue was resolved by deleting the order.,3,S1000v4,0.5685438,0.58616793,t6UJ9A00F3Q9,3.0,S1000v4,Delete the order or session to resolve the issue.,t6UJ9A00F3Q9,"The computer restarted while running certain processes, causing them to freeze.",3,S1000v4,The issue was resolved after the customer reported that the problem was cleared.,50.0,0.5861679166666667,0.6198771
"Classify and resolve this support ticket using the following details:
- ticketID: t6UJ9A00FPK5
- Problem: assistant

The Wave link is allowing the completion of packaging tasks and printing labels, but the goods are not being receipted in Sage. This means that the items are not being recorded as received in the Sage system, despite the packaging process being completed.","- Urgency: 3
- Category: S1000v4
- Solution: assistant

The finance team updated the exchange rates to include the missing currency period 4 for GBP to EUR. This resolved the error and allowed the system to process the purchase order receipts. The issue was confirmed to be resolved after retrying the process.","{""Urgency Code"": 3, ""Category"": ""S1000v3"", ""Resolution"": ""The issue was resolved by re-keying the order in Sage, as the problem was specific to the original reference number. The customer was able to re-key the order and it worked, indicating that the problem was specific to the original reference number.""}","The issue is that a specific product (SKU LA8581) is not being sent to the DIF (Delivery Invoicing File) from Sage, despite being present in the order with two other lines. Attempts to resolve the issue by editing the order in Sage and re-adding the line have been unsuccessful.","The issue was resolved by creating a new order with a modified reference number (014138A) which successfully processed. This suggests that the original order (014138) had an issue with the reference number. The customer was able to re-key the order and it worked, indicating that the problem was specific to the original reference number. The issue was resolved without the need for remote assistance, and the customer was happy to close the call.",3,S1000v3,0.5974521,"You are unable to print from the booking in deliveries screen in Sage, resulting in an error.","The issue was resolved by temporarily bypassing the print limit by unticking the ""hold"" field on the printer spool screen. However, the customer was initially unable to access this screen due to an error. The issue was resolved after further assistance, allowing the customer to print normally. The customer then confirmed that the issue was resolved and all old prints were removed.",3,S1000v4,0.59672296,"I'm happy to help you with your issue. However, I don't see a specific problem described in your message. Please provide the actual technical issue you're experiencing with Sage, and I'll do my best to rephrase it in plain English.","The support team helped the user by adding the ""st_stock_build"" option to their menu. The user had created their own custom menu and needed to add the option to it. The support team offered to send an invite to help the user access the option, but the user was able to resolve the issue themselves after being reminded of the password requirements. The support team then added the option to the user's menu. The issue was resolved and the ticket was closed.",1,S1000v4,0.58381265,0.5926626,t6UJ9A00FPK5,3.0,S1000v3,"The issue was resolved by re-keying the order in Sage, as the problem was specific to the original reference number. The customer was able to re-key the order and it worked, indicating that the problem was specific to the original reference number.",t6UJ9A00FPK5,"The Wave link is allowing the completion of packaging tasks and printing labels, but the goods are not being receipted in Sage. This means that the items are not being recorded as received in the Sage system, despite the packaging process being completed.",3,S1000v4,The finance team updated the exchange rates to include the missing currency period 4 for GBP to EUR. This resolved the error and allowed the system to process the purchase order receipts. The issue was confirmed to be resolved after retrying the process.,42.0,0.59266257,0.4012076
"Classify and resolve this support ticket using the following details:
- ticketID: t6UJ9A00FILC
- Problem: assistant

User jwatson is experiencing an error when completing a work order. The error is preventing them from successfully completing the work order.","- Urgency: 3
- Category: S1000v3
- Solution: assistant

The support team asked the operator to check if the issue was specific to the works order on screen shot 515897. They were informed that a highlighted component hadn't been issued to the works order. The team suggested issuing the stock to the works order and trying to complete it again. The operator was then asked to let them know the outcome. The status of the ticket was updated accordingly as the operator worked on the issue.","{""Urgency Code"": 3, ""Category"": ""S1000v4"", ""Resolution"": ""A rebuild was underway for nominal data, which caused a block on the order. The issue was initially caused by a closed order program. The team worked to resolve the problem and eventually found a solution. The order was reopened, and the issue was resolved, allowing access to the order.""}",I'm ready to help. What is the problem from the support ticket?,A sheet was attached to the ticket on 28/03/2024 at 11:52:25 GMT.,3,S1000v4,0.6051487,I'm ready to help. What is the problem from the support ticket?,"On September 1, 2025, at 15:07, the support team accessed the system to investigate the issue. They retrieved information about the system, including.NET versions and involvement in BACS and STUNNEL.",3,S1000v4,0.6051487,"The user is unable to access a ticket because it says the order number is already in use, but other staff members confirm the ticket is not in use.","A rebuild was underway for nominal data, which caused a block on the order. The issue was initially caused by a closed order program. The team worked to resolve the problem and eventually found a solution. The order was reopened, and the issue was resolved, allowing access to the order.",3,S1000v4,0.5702247,0.59350735,t6UJ9A00FILC,3.0,S1000v4,"A rebuild was underway for nominal data, which caused a block on the order. The issue was initially caused by a closed order program. The team worked to resolve the problem and eventually found a solution. The order was reopened, and the issue was resolved, allowing access to the order.",t6UJ9A00FILC,User jwatson is experiencing an error when completing a work order. The error is preventing them from successfully completing the work order.,3,S1000v3,The support team asked the operator to check if the issue was specific to the works order on screen shot 515897. They were informed that a highlighted component hadn't been issued to the works order. The team suggested issuing the stock to the works order and trying to complete it again. The operator was then asked to let them know the outcome. The status of the ticket was updated accordingly as the operator worked on the issue.,35.0,0.5935073666666667,0.5370383
"Classify and resolve this support ticket using the following details:
- ticketID: t6UJ9A00EZ3Z
- Problem: assistant

The customer needs help closing off the General ledger for the year-end process.","- Urgency: 3
- Category: S1000v4
- Solution: assistant

The support team member has posted all necessary journals and completed the cleardown process for the year-end close off. They are now ready for assistance to finalize the ledger close.","{""Urgency Code"": 3, ""Category"": ""S1000v4"", ""Resolution"": ""Take safe copies of key tables, rebuild them to fix inconsistencies in account codes, and then complete the year-end process.""}",I'm ready to help. What is the problem from the support ticket?,A sheet was attached to the ticket on 28/03/2024 at 11:52:25 GMT.,3,S1000v4,0.592782,I'm ready to help. What is the problem from the support ticket?,"On September 1, 2025, at 15:07, the support team accessed the system to investigate the issue. They retrieved information about the system, including.NET versions and involvement in BACS and STUNNEL.",3,S1000v4,0.592782,"You're unable to close the nominal ledger (NL) for last year due to incorrect balances, despite having posted a journal (jnl) to update the accounts.","The issue was resolved by taking safe copies of key tables and rebuilding them to fix inconsistencies in account codes. This process was done outside of regular working hours to minimize disruption. The rebuilds were completed successfully, and the system was then checked for any remaining issues. Once the system was stable, the year-end process was completed.",3,S1000v4,0.5576123,0.5810588,t6UJ9A00EZ3Z,3.0,S1000v4,"Take safe copies of key tables, rebuild them to fix inconsistencies in account codes, and then complete the year-end process.",t6UJ9A00EZ3Z,The customer needs help closing off the General ledger for the year-end process.,3,S1000v4,The support team member has posted all necessary journals and completed the cleardown process for the year-end close off. They are now ready for assistance to finalize the ledger close.,50.0,0.5810587666666667,0.2912763
"Classify and resolve this support ticket using the following details:
- ticketID: t6UJ9A00FI4D
- Problem: assistant

The customer is requesting an out-of-stock notification.","- Urgency: 3
- Category: S1000v4
- Solution: assistant

The issue was addressed by the support team. The customer's process was updated to reflect the new status.","{""Urgency Code"": 3, ""Category"": ""S1000v4"", ""Resolution"": ""The issue has been resolved. Please try again, and if the problem persists, please contact us for further assistance.""}",The customer is requesting an out-of-stock notification.,"The support team helped resolve the issue by clearing a lock on the system. The customer was initially unable to access certain options, but after the lock was cleared, they were still experiencing issues. The support team then asked the customer to try again, and after that, the issue was resolved.",3,S1000v4,0.6264721,The customer is requesting an out-of-stock notification.,The issue has been resolved.,3,S1000v4,0.6264721,The customer is requesting an out-of-stock notification.,"The issue has been resolved. The customer was asked to confirm if the problem was now okay, and they replied that it was sorted.",3,S1000v4,0.6264721,0.6264721,t6UJ9A00FI4D,3.0,S1000v4,"The issue has been resolved. Please try again, and if the problem persists, please contact us for further assistance.",t6UJ9A00FI4D,The customer is requesting an out-of-stock notification.,3,S1000v4,The issue was addressed by the support team. The customer's process was updated to reflect the new status.,40.0,0.6264721,0.52668554
"Classify and resolve this support ticket using the following details:
- ticketID: t6UJ9A00G34Y
- Problem: assistant

Inconsistent page printing occurs when printing invoices, resulting in missing pages. Specifically, pages 2 and 3 are skipped, while pages 1 and 4 are printed. Reprinting the document resolves the issue, printing all pages correctly.","- Urgency: 1
- Category: S1000
- Solution: assistant

The customer reported an issue with printing invoices, where some pages were missing. They provided a screenshot of the printer settings and confirmed no recent changes had been made. The issue seemed to occur randomly, but was more frequent at the end of the day. The customer sent a specific invoice number, TS357821, which was printed singularly and also had missing pages. The support team requested connection details to investigate further, and the customer provided them.","{""Urgency Code"": 3, ""Category"": ""S1000v4"", ""Resolution"": ""Restart the DBForm and services on the server to resolve the issue. This will ensure the system processes all pages correctly. If the issue persists, check for any definition settings that may be causing the system to stop working after the first error.""}","Invoices are failing to print through the paperless system, resulting in errors.","The issue was investigated and resolved. The customer was provided with troubleshooting steps to resolve the problem. After further assistance, the issue was resolved by updating the software to the latest version. Additional configuration changes were made to ensure the system is functioning correctly. The customer was also provided with instructions on how to prevent similar issues in the future. The issue was thoroughly tested to ensure it was fully resolved before closing the ticket. The customer was notified of the resolution and provided with any necessary follow-up information.",3,S1000v3,0.6693228,"An invoice with number I085107 is not printing, while other invoices on the same sales order (SO) are printing successfully. Reprinting the invoice multiple times has not resolved the issue, and no relevant errors are visible in the logs.","The support team checked the database and found that the ""invoice_required"" flag was set to ""N"" on the order due to the ""produce invoices"" flag not being ticked on the customer record. The team updated the flag to ""Y"" in the database for the specific order and a back order. The customer was then able to re-print the invoice. The team also updated the customer record to set the ""produce invoices"" flag to ""Y"" for future orders. The issue was resolved and the customer confirmed that the re-printed invoice was successful.",3,S1000v4,0.6626127,"The printer is only printing the first page of a document, and subsequent pages are not printing. This issue has occurred previously.","The support team member restarted the DBForm and services on the server as the issue couldn't be resolved through other means. This resolved the problem, allowing the system to function as expected. The cause of the issue was identified as a definition setting that caused the system to stop working after the first error, preventing further processing.",3,S1000v4,0.66173345,0.66455626,t6UJ9A00G34Y,3.0,S1000v4,"Restart the DBForm and services on the server to resolve the issue. This will ensure the system processes all pages correctly. If the issue persists, check for any definition settings that may be causing the system to stop working after the first error.",t6UJ9A00G34Y,"Inconsistent page printing occurs when printing invoices, resulting in missing pages. Specifically, pages 2 and 3 are skipped, while pages 1 and 4 are printed. Reprinting the document resolves the issue, printing all pages correctly.",1,S1000,"The customer reported an issue with printing invoices, where some pages were missing. They provided a screenshot of the printer settings and confirmed no recent changes had been made. The issue seemed to occur randomly, but was more frequent at the end of the day. The customer sent a specific invoice number, TS357821, which was printed singularly and also had missing pages. The support team requested connection details to investigate further, and the customer provided them.",26.0,0.6645563166666667,0.3673092
"Classify and resolve this support ticket using the following details:
- ticketID: t6UJ9A00FJKJ
- Problem: assistant

Gary's account was rebuilt but it's still not functioning properly.","- Urgency: 3
- Category: S1000v4
- Solution: assistant

The issue was investigated by checking the user's account and attempting to replicate the problem. The user's Java settings were checked and compared to a working machine. It was discovered that two Java files, swt.jar and serp_4.0.2.36.jar, were being blocked by antivirus or security software due to expired certificates. The issue was resolved by enabling tracing and logging, and the user was able to login successfully. The user was also able to login from another machine to rule out a user profile issue. The issue was eventually marked as resolved.","{""Urgency Code"": 3, ""Category"": ""S1000v4"", ""Resolution"": ""The issue was resolved by re-verifying the account rebuild process, ensuring all necessary steps were taken and correctly executed. This included checking for any system updates or configuration changes that might have affected Gary's account functionality.""}",I'm ready to help. What is the problem from the support ticket?,A sheet was attached to the ticket on 28/03/2024 at 11:52:25 GMT.,3,S1000v4,0.65443254,I'm ready to help. What is the problem from the support ticket?,"On September 1, 2025, at 15:07, the support team accessed the system to investigate the issue. They retrieved information about the system, including.NET versions and involvement in BACS and STUNNEL.",3,S1000v4,0.65443254,The user is requesting to open a new support ticket but has not provided the actual technical issue.,"The issue was resolved by identifying incorrectly formatted dates in the opdetm transaction_anals2 and 3 fields. The format required was dd/mm/yy, but some dates were missing characters or had too many. The solution involved correcting these dates to ensure they were in the correct format.",3,S1000v4,0.57626045,0.6283752,t6UJ9A00FJKJ,3.0,S1000v4,"The issue was resolved by re-verifying the account rebuild process, ensuring all necessary steps were taken and correctly executed. This included checking for any system updates or configuration changes that might have affected Gary's account functionality.",t6UJ9A00FJKJ,Gary's account was rebuilt but it's still not functioning properly.,3,S1000v4,"The issue was investigated by checking the user's account and attempting to replicate the problem. The user's Java settings were checked and compared to a working machine. It was discovered that two Java files, swt.jar and serp_4.0.2.36.jar, were being blocked by antivirus or security software due to expired certificates. The issue was resolved by enabling tracing and logging, and the user was able to login successfully. The user was also able to login from another machine to rule out a user profile issue. The issue was eventually marked as resolved.",40.0,0.6283751766666666,0.43360054
"Classify and resolve this support ticket using the following details:
- ticketID: t6UJ9A00F6OC
- Problem: assistant

A user has partially entered a project, NEP02306, in the Project, Create and Amend section. The issue needs to be investigated to determine who made the partial entry and how to complete or correct it.","- Urgency: 1
- Category: S1000v4
- Solution: assistant

The issue was investigated and it was found that the problem was caused by a user being on the live system instead of the demo system, which led to incorrect data being entered. The user confirmed this was a training issue and it won't happen again. The issue was resolved and the status of the ticket was updated accordingly.","{""Urgency Code"": 3, ""Category"": ""S1000v4"", ""Resolution"": ""A reference was added to the source_tran_no field in the cbtranm table in the tagsys database for two specific records. This update has been completed. Investigate the project NEP02306 in the Project, Create and Amend section to determine who made the partial entry and how to complete or correct it.""}",I'm ready to help. What is the problem from the support ticket?,"On September 1, 2025, at 15:07, the support team accessed the system to investigate the issue. They retrieved information about the system, including.NET versions and involvement in BACS and STUNNEL.",3,S1000v4,0.557083,I'm ready to help. What is the problem from the support ticket?,A sheet was attached to the ticket on 28/03/2024 at 11:52:25 GMT.,3,S1000v4,0.557083,"The customer is requesting assistance with two specific issues, referencing tickets P10 2407 and P10 2408.",A reference was added to the source_tran_no field in the cbtranm table in the tagsys database for two specific records. This update has been completed.,3,S1000v4,0.54598844,0.55338484,t6UJ9A00F6OC,3.0,S1000v4,"A reference was added to the source_tran_no field in the cbtranm table in the tagsys database for two specific records. This update has been completed. Investigate the project NEP02306 in the Project, Create and Amend section to determine who made the partial entry and how to complete or correct it.",t6UJ9A00F6OC,"A user has partially entered a project, NEP02306, in the Project, Create and Amend section. The issue needs to be investigated to determine who made the partial entry and how to complete or correct it.",1,S1000v4,"The issue was investigated and it was found that the problem was caused by a user being on the live system instead of the demo system, which led to incorrect data being entered. The user confirmed this was a training issue and it won't happen again. The issue was resolved and the status of the ticket was updated accordingly.",19.0,0.5533848133333333,0.31794342
